Alter,Geschlecht,Pseudonym,Position,Studiengang,Sportlichkeit,Sportarten,Fav_Sportart,Gesunde_Ernaehrung,Essen_gehen,Kochen,Feiern,Fav_Essen,Musik,Fav_Musik,Lesen,Darstellende_Kunst,Filme,Bildende_Kunst,Museen,Videospiele,Soziale_Medien,Technologie,Astronomie,Naturwissenschaften,Soziales_Engagement,Soziale_Gerechtigkeit,Introvertiert_Extrovertiert,FOMO,Spontan,Verwirrt,Glücklich,Geduldig,Streitlustig,Abenteuerlustig,Studium_Zweifel,Studium_Zufriedenheit,Akademische_Laufbahn,Lerngruppe,Prokrastination,Abgaben_spaet,Neugier_Lebensmittel,Natur,Verreisen,Handwerk,Sprachnachrichten,Wichtigkeit_Geld,Geschlecht_num,Position_num,Studiengang_num,Basketball,Fußball,Handball,Football,Hockey,Volleyball,Tennis,Yoga,Kampfsport,Tanzen,Leichtathletik,Bouldern/Klettern,Schwimmen,Wassersport,Reiten,Wintersport,Rennrad/Mountainbike
28,männlich,lalala-lololo,Student*in,MMI,4,Basketball;Yoga;Bouldern/Klettern;Rennrad/Mountainbike,Joggen/Laufen,4,3,4,3,Vegane Lasagne,5,Kraftklub,4,3,3,3,2,2,3,4,2,2,3,3,3,3,3,4,4,4,3,3,2,4,1,5,3,2,5,5,2,2,3,3,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
26,männlich,hbstr,Student*in,MMI,3,Fußball;Volleyball;Yoga;Bouldern/Klettern;Rennrad/Mountainbike,Fußball,4,4,5,2,Butterbrot,4,Red Hot Chili Peppers,2,3,4,4,4,4,5,5,4,4,3,4,3,3,3,1,4,2,2,3,3,4,3,3,2,2,4,3,3,4,3,4,1,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
24,männlich,Panda,Student*in,MMI,2,Fußball;Handball;Yoga;Tanzen;Bouldern/Klettern,Keine Angabe,5,4,4,3,Lasagne,5,The 1975,2,3,4,4,5,3,4,4,3,2,4,5,4,5,4,2,4,5,1,4,2,4,3,5,5,1,3,2,3,2,4,3,1,0,3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
23,männlich,TomTom Navigation,Student*in,MMI,5,Leichtathletik;Bouldern/Klettern;Wintersport,Trampolin,2,4,4,2,Burger,3,Keine Angabe,3,2,4,1,3,4,2,5,2,3,4,3,3,2,2,1,5,4,2,4,3,4,2,2,2,3,5,4,4,2,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
24,weiblich,LcAbrgr,Student*in,MMI,3,Bouldern/Klettern,Bouldern/Klettern,4,3,2,1,Dampfnudeln,3,Keine Angabe,4,2,5,2,2,1,2,4,1,2,2,2,3,2,5,4,4,4,2,5,4,4,1,1,5,5,2,3,4,3,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,männlich,242,Student*in,MMI,4,Bouldern/Klettern,Bouldern/Klettern,3,3,5,4,Pho,2,Keine Angabe,2,1,3,1,1,5,4,5,3,3,3,3,5,4,5,1,4,3,2,5,1,5,1,3,2,1,4,4,5,3,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,weiblich,3186,Student*in,MMI,3,Tanzen,Keine Angabe,2,5,3,3,Tomaten,5,Pugliese,4,5,5,5,3,1,4,5,1,3,2,3,4,4,4,1,4,2,1,2,1,4,3,1,3,3,2,4,5,4,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,männlich,air-oughtest-wood-abate,Student*in,MMI,3,Fußball;Volleyball,Fußball,3,4,5,3,Pasta,4,Green Day,4,1,3,4,4,4,4,4,2,2,3,4,2,3,4,4,4,4,3,5,2,4,2,4,4,3,5,4,5,4,2,2,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,männlich,one_more_datapoint,Dozent*in,DAISY,3,Basketball;Fußball;Leichtathletik;Schwimmen;Rennrad/Mountainbike,Schnorcheln,3,5,5,3,Pizza,4,Pete Philly,4,4,3,4,4,3,2,5,2,5,4,5,3,4,2,3,5,4,1,3,3,3,5,3,1,4,4,2,2,3,1,3,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
34,männlich,Quantum342 (ChatGPT),Wissenschaftliche*r Mitarbeiter*in,BMI,4,Tennis;Bouldern/Klettern;Schwimmen;Wassersport;Rennrad/Mountainbike,Tennis,4,4,3,2,Sushi,4,Radiohead,3,2,4,3,3,3,4,5,4,5,4,5,3,2,4,2,4,3,1,3,3,4,4,3,3,2,4,3,3,4,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
20,männlich,2111,Student*in,DAISY,4,Basketball;Fußball;Volleyball,Keine Angabe,4,5,2,3,Koreanisches Dakgangjeong,5,Dominic Fike,1,2,3,4,4,2,5,4,4,2,2,3,4,1,4,3,3,3,1,3,3,3,4,2,4,3,5,1,2,1,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,männlich,Ismail,Student*in,DAISY,4,Basketball;Fußball;Kampfsport;Leichtathletik;Schwimmen,Kampfsport,4,3,5,1,Döner,2,Redlion,5,1,3,2,2,4,4,5,5,5,2,2,3,2,3,2,4,3,1,4,1,4,2,1,4,5,5,2,3,3,2,5,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
23,männlich,bangnon123,Student*in,DAISY,4,Fußball;Football;Hockey,Football,3,4,5,4,Asiatische Nudeln,5,James Arthur,2,3,4,3,3,5,5,5,2,5,3,4,4,4,4,3,5,3,3,3,3,5,3,5,3,3,3,2,4,3,4,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,männlich,eprotizu,Student*in,DAISY,4,Basketball;Fußball;Volleyball;Yoga;Kampfsport,Thaiboxen,4,4,4,2,Hühnchen,3,eminem,4,2,2,2,3,4,3,5,4,4,2,1,3,2,4,2,4,3,1,4,2,4,1,2,4,4,4,4,1,2,5,4,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
19,männlich,sekkuro,Student*in,DAISY,5,Basketball;Volleyball;Tanzen;Leichtathletik;Bouldern/Klettern,Calisthenics,3,5,3,1,Curry,4,Jakey,5,4,5,2,4,5,5,3,4,3,2,5,2,3,2,4,4,4,2,3,5,2,2,2,5,5,3,2,2,4,5,5,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
23,männlich,420,Student*in,DAISY,4,Basketball;Kampfsport;Schwimmen,Calisthenics,4,4,4,2,Burger,4,Apache207,1,1,3,2,2,5,5,5,4,4,1,4,2,4,3,4,5,3,2,4,5,5,1,3,5,5,5,3,3,3,5,5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
28,weiblich,123,Student*in,DAISY,3,Yoga;Tanzen;Bouldern/Klettern;Wassersport,Tauchen,3,4,3,4,Pfannkuchen,4,Antilopen Gang,5,4,4,4,4,4,3,5,4,5,4,5,3,4,3,3,3,4,2,4,2,3,5,2,4,3,4,3,3,4,2,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
25,männlich,AOoOA,Student*in,DAISY,2,Basketball;Fußball;Rennrad/Mountainbike,Tischtennis,4,5,3,3,Burger,4,Drake,3,4,3,4,2,2,5,5,5,2,3,5,3,3,5,3,4,3,1,4,4,4,4,2,4,4,5,3,1,5,2,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,männlich,Heartist,Student*in,DAISY,2,Fußball;Volleyball;Bouldern/Klettern;Schwimmen;Rennrad/Mountainbike,Tischtennis,3,4,5,4,Risotto,5,I Prevail,2,2,5,3,4,3,4,3,4,2,4,5,3,5,4,3,4,2,1,5,4,4,4,5,5,5,5,4,4,2,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
25,weiblich,dotf_23,Student*in,MMI,3,Basketball;Volleyball;Kampfsport;Leichtathletik,Basketball,3,3,4,2,Burger,4,Bad Omens,4,2,3,3,3,4,3,4,2,2,3,4,2,2,3,4,3,3,2,2,3,3,3,5,5,5,3,2,2,2,2,3,0,0,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
25,weiblich,FB42,Student*in,MMI,4,Basketball;Fußball;Bouldern/Klettern,Fußball,3,3,4,2,Pizza,4,Provinz,5,2,5,3,3,3,3,4,2,3,3,4,2,3,3,1,4,5,2,4,2,4,1,4,3,3,4,3,3,2,2,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,männlich,7bpf8,Student*in,DAISY,3,Basketball;Football;Schwimmen,Schwimmen,4,5,4,4,Burger,3,Post Malone,2,2,4,3,2,5,5,5,2,3,3,3,4,4,3,2,4,4,2,3,3,4,2,3,2,2,4,3,3,4,4,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,männlich,5714,Student*in,DAISY,5,Basketball;Fußball;Football;Volleyball;Tennis,Fußball,3,4,3,4,Pizza,4,Juice WRLD,2,2,4,1,2,3,4,4,4,2,2,2,2,3,3,2,4,3,2,2,3,4,3,3,4,4,2,2,3,1,4,4,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
22,männlich,MBH22,Student*in,DAISY,3,Basketball;Fußball;Volleyball;Kampfsport;Schwimmen,Basketball,4,3,5,4,Reis mit Sojasoße Hähnchen,4,Avenged Sevenfold,2,4,4,4,2,5,5,5,4,3,3,2,3,2,2,2,3,4,3,4,3,3,1,4,5,2,4,2,4,5,3,5,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
22,männlich,yeet,Student*in,DAISY,3,Basketball;Kampfsport;Bouldern/Klettern;Schwimmen;Rennrad/Mountainbike,Radfahren,5,3,5,2,Keine Angabe,3,Keine Angabe,2,1,2,4,3,5,2,5,5,4,2,2,3,2,4,2,5,3,1,5,4,3,5,3,4,3,4,5,3,2,2,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
28,männlich,nomercy,Student*in,MMI,5,Fußball,Fitness,5,4,4,5,Döner,5,Klangkuenstler,3,1,5,1,3,1,4,4,1,2,1,1,3,2,2,1,5,4,3,4,1,4,1,3,5,5,3,4,3,1,4,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,männlich,agalper,Student*in,MMI,3,Basketball;Fußball;Rennrad/Mountainbike,Tischtennis,4,4,4,4,Burrito,5,Lapalux,4,4,4,5,5,3,3,3,2,2,3,4,3,2,4,4,4,4,2,5,1,3,2,3,3,4,5,4,4,4,2,3,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,männlich,ac1306,Student*in,MMI,4,Basketball;Fußball;Football,Fußball,4,4,4,3,Pizza,4,Jack Harlow,1,1,4,4,3,2,4,4,2,2,2,3,3,3,5,2,3,4,3,5,1,4,1,4,4,4,5,3,5,4,2,3,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,männlich,brnlq,Student*in,MMI,3,Football;Kampfsport;Tanzen,E-Sport ,4,2,4,4,Shakshuka,2,K.I.Z,1,1,4,1,2,4,4,5,1,3,4,4,4,4,2,3,2,5,1,2,4,4,3,3,5,4,5,2,1,2,2,2,1,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
23,weiblich,saja,Student*in,MMI,3,Yoga;Tanzen;Schwimmen;Reiten,Reiten,4,3,3,2,Pasta,3,Adele,4,3,4,4,2,3,3,4,3,2,4,5,1,4,4,3,2,4,1,3,3,3,4,2,2,3,4,3,3,2,3,3,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
31,männlich,kevkev,Student*in,MMI,2,Tennis,Tischtennis,1,4,3,5,Pizza,5,King Gizzard and the Lizard Wizard,4,4,5,4,4,5,1,5,5,5,4,5,2,2,4,4,4,5,1,3,5,5,3,4,4,3,3,3,2,4,1,4,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,weiblich,QEasyG,Student*in,DAISY,2,Kampfsport;Tanzen;Leichtathletik;Schwimmen,Karate,4,5,5,4,Lasagne,4,Drake,3,2,3,2,2,3,2,4,4,3,2,3,4,3,4,4,4,3,2,3,1,5,3,4,3,3,4,4,2,4,5,5,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
24,männlich,Moin123,Student*in,MMI,2,Bouldern/Klettern;Schwimmen,Keine Angabe,2,4,2,5,Döner,2,Billy Talent,2,1,3,2,3,5,3,5,2,1,2,2,2,2,4,2,4,4,1,3,1,5,2,3,4,3,5,3,3,3,3,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
25,männlich,6VGOD2,Student*in,BMI,4,Bouldern/Klettern,Badminton,3,3,2,2,Nudeln,5,Keine Angabe,1,1,3,1,1,5,5,5,2,3,3,4,2,2,4,2,3,3,3,4,4,4,1,2,5,5,4,3,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,männlich,mava,Wissenschaftliche*r Mitarbeiter*in,BMI,3,Fußball;Bouldern/Klettern;Schwimmen;Wintersport,Bouldern/Klettern,3,4,3,2,Lasagne,4,System of a Down,4,1,5,1,2,5,5,5,5,5,1,5,2,2,3,1,5,4,2,3,4,5,2,5,3,2,4,2,2,4,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
