Alter,Sportlichkeit,Gesunde_Ernaehrung,Essen_gehen,Kochen,Feiern,Musik,Lesen,Darstellende_Kunst,Filme,Bildende_Kunst,Museen,Videospiele,Soziale_Medien,Technologie,Astronomie,Naturwissenschaften,Soziales_Engagement,Soziale_Gerechtigkeit,Introvertiert_Extrovertiert,FOMO,Spontan,Verwirrt,Glücklich,Geduldig,Streitlustig,Abenteuerlustig,Studium_Zweifel,Studium_Zufriedenheit,Akademische_Laufbahn,Lerngruppe,Prokrastination,Abgaben_spaet,Neugier_Lebensmittel,Natur,Verreisen,Handwerk,Sprachnachrichten,Wichtigkeit_Geld,Geschlecht_num,Studiengang_num,cluster_2,cluster_3,cluster_5
28,4,4,3,4,3,5,4,3,3,3,2,2,3,4,2,2,3,3,3,3,3,4,4,4,3,3,2,4,1,5,3,2,5,5,2,2,3,3,1,3,1,1,4
26,3,4,4,5,2,4,2,3,4,4,4,4,5,5,4,4,3,4,3,3,3,1,4,2,2,3,3,4,3,3,2,2,4,3,3,4,3,4,1,3,1,1,1
24,2,5,4,4,3,5,2,3,4,4,5,3,4,4,3,2,4,5,4,5,4,2,4,5,1,4,2,4,3,5,5,1,3,2,3,2,4,3,1,3,1,1,1
23,5,2,4,4,2,3,3,2,4,1,3,4,2,5,2,3,4,3,3,2,2,1,5,4,2,4,3,4,2,2,2,3,5,4,4,2,3,3,1,3,0,1,2
24,3,4,3,2,1,3,4,2,5,2,2,1,2,4,1,2,2,2,3,2,5,4,4,4,2,5,4,4,1,1,5,5,2,3,4,3,3,4,0,3,0,2,3
30,4,3,3,5,4,2,2,1,3,1,1,5,4,5,3,3,3,3,5,4,5,1,4,3,2,5,1,5,1,3,2,1,4,4,5,3,3,3,1,3,1,1,2
41,3,2,5,3,3,5,4,5,5,5,3,1,4,5,1,3,2,3,4,4,4,1,4,2,1,2,1,4,3,1,3,3,2,4,5,4,1,3,0,3,1,0,1
24,3,3,4,5,3,4,4,1,3,4,4,4,4,4,2,2,3,4,2,3,4,4,4,4,3,5,2,4,2,4,4,3,5,4,5,4,2,2,1,3,1,1,4
42,3,3,5,5,3,4,4,4,3,4,4,3,2,5,2,5,4,5,3,4,2,3,5,4,1,3,3,3,5,3,1,4,4,2,2,3,1,3,1,1,1,0,1
34,4,4,4,3,2,4,3,2,4,3,3,3,4,5,4,5,4,5,3,2,4,2,4,3,1,3,3,4,4,3,3,2,4,3,3,4,2,2,1,0,1,1,1
20,4,4,5,2,3,5,1,2,3,4,4,2,5,4,4,2,2,3,4,1,4,3,3,3,1,3,3,3,4,2,4,3,5,1,2,1,4,3,1,1,0,2,3
19,4,4,3,5,1,2,5,1,3,2,2,4,4,5,5,5,2,2,3,2,3,2,4,3,1,4,1,4,2,1,4,5,5,2,3,3,2,5,1,1,0,2,2
23,4,3,4,5,4,5,2,3,4,3,3,5,5,5,2,5,3,4,4,4,4,3,5,3,3,3,3,5,3,5,3,3,3,2,4,3,4,5,1,1,1,1,1
24,4,4,4,4,2,3,4,2,2,2,3,4,3,5,4,4,2,1,3,2,4,2,4,3,1,4,2,4,1,2,4,4,4,4,1,2,5,4,1,1,0,2,2
19,5,3,5,3,1,4,5,4,5,2,4,5,5,3,4,3,2,5,2,3,2,4,4,4,2,3,5,2,2,2,5,5,3,2,2,4,5,5,1,1,0,2,3
23,4,4,4,4,2,4,1,1,3,2,2,5,5,5,4,4,1,4,2,4,3,4,5,3,2,4,5,5,1,3,5,5,5,3,3,3,5,5,1,1,0,1,2
28,3,3,4,3,4,4,5,4,4,4,4,4,3,5,4,5,4,5,3,4,3,3,3,4,2,4,2,3,5,2,4,3,4,3,3,4,2,4,0,1,1,0,1
25,2,4,5,3,3,4,3,4,3,4,2,2,5,5,5,2,3,5,3,3,5,3,4,3,1,4,4,4,4,2,4,4,5,3,1,5,2,5,1,1,1,0,1
27,2,3,4,5,4,5,2,2,5,3,4,3,4,3,4,2,4,5,3,5,4,3,4,2,1,5,4,4,4,5,5,5,5,4,4,2,2,1,1,1,1,1,4
25,3,3,3,4,2,4,4,2,3,3,3,4,3,4,2,2,3,4,2,2,3,4,3,3,2,2,3,3,3,5,5,5,3,2,2,2,2,3,0,3,0,2,3
25,4,3,3,4,2,4,5,2,5,3,3,3,3,4,2,3,3,4,2,3,3,1,4,5,2,4,2,4,1,4,3,3,4,3,3,2,2,2,0,3,1,2,4
23,3,4,5,4,4,3,2,2,4,3,2,5,5,5,2,3,3,3,4,4,3,2,4,4,2,3,3,4,2,3,2,2,4,3,3,4,4,4,1,1,1,1,1
18,5,3,4,3,4,4,2,2,4,1,2,3,4,4,4,2,2,2,2,3,3,2,4,3,2,2,3,4,3,3,4,4,2,2,3,1,4,4,1,1,0,2,3
22,3,4,3,5,4,4,2,4,4,4,2,5,5,5,4,3,3,2,3,2,2,2,3,4,3,4,3,3,1,4,5,2,4,2,4,5,3,5,1,1,1,1,1
22,3,5,3,5,2,3,2,1,2,4,3,5,2,5,5,4,2,2,3,2,4,2,5,3,1,5,4,3,5,3,4,3,4,5,3,2,2,3,1,1,0,1,2
28,5,5,4,4,5,5,3,1,5,1,3,1,4,4,1,2,1,1,3,2,2,1,5,4,3,4,1,4,1,3,5,5,3,4,3,1,4,3,1,3,0,2,4
24,3,4,4,4,4,5,4,4,4,5,5,3,3,3,2,2,3,4,3,2,4,4,4,4,2,5,1,3,2,3,3,4,5,4,4,4,2,3,1,3,1,0,4
24,4,4,4,4,3,4,1,1,4,4,3,2,4,4,2,2,2,3,3,3,5,2,3,4,3,5,1,4,1,4,4,4,5,3,5,4,2,3,1,3,1,1,4
29,3,4,2,4,4,2,1,1,4,1,2,4,4,5,1,3,4,4,4,4,2,3,2,5,1,2,4,4,3,3,5,4,5,2,1,2,2,2,1,3,0,2,3
23,3,4,3,3,2,3,4,3,4,4,2,3,3,4,3,2,4,5,1,4,4,3,2,4,1,3,3,3,4,2,2,3,4,3,3,2,3,3,0,3,1,2,3
31,2,1,4,3,5,5,4,4,5,4,4,5,1,5,5,5,4,5,2,2,4,4,4,5,1,3,5,5,3,4,4,3,3,3,2,4,1,4,1,3,1,0,1
27,2,4,5,5,4,4,3,2,3,2,2,3,2,4,4,3,2,3,4,3,4,4,4,3,2,3,1,5,3,4,3,3,4,4,2,4,5,5,0,1,1,1,1
24,2,2,4,2,5,2,2,1,3,2,3,5,3,5,2,1,2,2,2,2,4,2,4,4,1,3,1,5,2,3,4,3,5,3,3,3,3,3,1,3,0,2,2
25,4,3,3,2,2,5,1,1,3,1,1,5,5,5,2,3,3,4,2,2,4,2,3,3,3,4,4,4,1,2,5,5,4,3,3,2,1,3,1,0,0,2,3
28,3,3,4,3,2,4,4,1,5,1,2,5,5,5,5,5,1,5,2,2,3,1,5,4,2,3,4,5,2,5,3,2,4,2,2,4,1,4,1,0,0,1,1
28,2,4,5,3,4,4,3,4,3,4,3,1,4,4,1,3,4,5,4,4,4,1,4,3,2,4,1,5,3,4,3,5,5,3,2,4,3,3,0,2,1,1,1
23,4,3,3,3,1,5,4,4,4,3,3,2,4,3,4,4,2,3,2,2,3,1,3,5,1,2,2,4,5,3,3,3,4,2,2,1,3,3,1,2,0,2,3
20,4,4,5,3,1,3,5,2,4,4,1,3,5,4,5,3,3,5,5,5,4,1,3,4,2,4,2,4,5,5,3,5,5,2,2,4,4,5,1,1,1,1,1
19,2,3,4,5,3,5,2,5,5,5,4,4,5,4,2,1,5,5,4,4,4,4,5,3,1,4,3,4,2,2,4,3,5,4,3,4,5,4,0,1,1,1,1
25,2,3,1,5,1,4,2,3,3,2,2,5,3,4,4,3,1,4,2,2,2,3,3,3,1,1,5,2,1,2,5,4,4,2,2,3,3,2,1,0,0,2,3
29,3,4,5,5,2,3,4,2,4,2,3,3,3,5,2,1,4,5,2,3,2,2,3,4,1,4,1,2,1,2,4,3,5,3,4,2,1,4,1,3,1,2,4
23,3,3,5,5,5,5,3,3,4,3,2,5,4,3,4,5,4,4,3,4,2,3,4,3,2,3,2,4,3,5,4,3,5,3,3,1,3,3,1,2,1,1,1
24,2,3,3,4,1,5,4,4,3,5,3,3,1,5,2,3,4,2,3,2,3,1,5,5,1,3,1,5,3,2,2,2,3,3,4,5,1,3,0,2,1,0,0
29,2,4,5,5,4,5,3,4,3,3,4,4,4,5,4,5,4,5,2,4,2,4,3,5,1,3,2,4,3,2,5,4,5,5,4,5,1,3,0,2,1,0,1
23,3,4,5,5,3,5,4,3,4,3,3,2,4,3,2,1,3,3,4,3,4,2,3,3,2,5,2,3,4,4,5,5,5,3,4,3,4,3,0,3,1,1,4
28,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,2,4,4,2,4,4,3,4,2,4,3,3,2,3,4,2,4,0,1,1,0,1
19,4,4,3,3,2,3,2,1,3,1,1,2,4,3,3,3,3,3,2,2,4,1,4,5,2,3,2,4,3,3,2,2,3,3,3,2,2,3,1,1,0,2,2
27,5,5,1,5,1,5,4,3,5,5,4,5,2,1,3,2,3,1,2,3,3,3,3,3,3,3,4,1,3,2,5,5,4,2,2,3,2,3,1,0,0,2,3
29,3,5,5,3,3,4,3,3,5,3,4,5,4,4,3,3,2,4,2,2,3,2,4,3,2,3,2,4,2,2,3,3,4,4,3,4,4,4,1,2,1,1,1
25,4,3,3,2,3,5,4,3,3,4,2,5,4,5,2,2,2,5,3,4,2,4,3,1,3,3,1,3,2,2,5,5,2,2,3,3,1,2,1,3,0,2,4
30,4,4,3,3,4,3,5,3,4,3,5,5,4,4,4,3,2,4,4,4,4,3,4,2,2,5,4,4,3,4,5,4,4,5,3,3,3,3,0,3,1,1,4
28,5,5,5,3,3,5,1,4,4,2,3,2,4,4,2,3,5,4,4,4,4,2,4,2,3,3,2,4,1,3,3,2,4,4,4,2,2,3,1,3,1,1,4
24,2,3,4,4,3,4,3,4,5,5,4,4,3,4,2,2,2,3,2,2,3,2,4,5,1,3,4,4,3,4,5,5,4,3,2,3,1,4,0,3,1,0,3
22,4,4,5,3,2,3,5,3,4,4,2,1,5,5,3,4,4,4,4,2,4,1,4,2,1,5,1,4,4,2,3,4,5,4,5,2,3,5,0,1,1,1,2
